college_code,branch_code,intake_capacity,fees_per_year,duration_years
05497,0549791710,60,,
06265,0626592110,60,,
03198,0319861210,60,,
06322,0632237210,60,,
03182,0318224610,120,,
03465,0346592110,120,,
04116,0411624210,180,,
04163,0416324210,150,,
03217,0321761210,60,,
03277,0327735610,60,,
04139,0413924210,180,,
06272,0627261210,120,,
03222,0322219110,30,,
06293,0629329310,60,,
02666,0266656610,120,,
02772,0277237210,60,,
03012,0301261210,60,,
06183,0618361210,54,,
03176,0317626710,120,,
06822,0682261210,60,,
05390,0539092110,60,,
01120,0112024210,120,,
06321,0632137210,60,,
02254,0225461210,60,,
05109,0510956610,60,,
05411,0541129310,30,,
06326,0632637210,60,,
06315,0631529310,60,,
06304,0630429310,60,,
04137,0413761210,30,,
06444,0644461210,30,,
06182,0618237210,120,,
03210,0321024510,180,,
05125,0512550710,60,,
05169,0516929310,60,,
04174,0417426510,60,,
06271,0627184410,60,,
03218,0321890010,60,,
06305,0630524610,60,,
03146,0314629310,60,,
02114,0211437210,120,,
14005,1400550710,75,,
02522,0252224510,120,,
03423,0342337210,60,,
05414,0541429310,60,,
02146,0214624210,30,,
02146,0214661210,30,,
06991,0699124510,180,,
06267,0626792210,60,,
06144,0614424610,90,,
06028,0602825410,60,,
02112,0211229310,60,,
03154,0315461210,60,,
02508,0250893710,60,,
16352,1635224610,60,,
03726,0372699510,60,,
06315,0631524210,120,,
02136,0213624610,60,,
03477,0347724510,60,,
05401,0540124510,120,,
06275,0627524510,120,,
06269,0626992510,60,,
05414,0541461210,60,,
06635,0663592110,60,,
04004,0400424210,60,,
06268,0626826210,180,,
05121,0512124610,120,,
02134,0213461210,60,,
06185,0618524610,60,,
02634,0263424510,60,,
06146,0614650710,60,,
05381,0538199510,60,,
06319,0631924610,30,,
06466,0646624210,60,,
04116,0411629310,60,,
04139,0413984410,60,,
06770,0677061210,30,,
06319,0631929310,60,,
03462,0346261210,30,,
04703,0470391210,60,,
06265,0626537210,120,,
05170,0517019110,30,,
03207,0320760210,60,,
06269,0626924210,120,,
01116,0111624210,180,,
01101,0110124210,120,,
05408,0540819110,60,,
05509,0550924510,60,,
06634,0663424510,90,,
06177,0617750710,60,,
03176,0317624610,240,,
03012,0301229310,60,,
06771,0677124510,60,,
04123,0412308210,60,,
02129,0212929310,60,,
05151,0515119110,60,,
01012,0101219110,60,,
06141,0614126210,60,,
03726,0372637210,60,,
04175,0417519110,60,,
02772,0277219110,60,,
03462,0346224510,30,,
03036,0303651110,18,,
03148,0314824610,120,,
04142,0414291710,60,,
05177,0517719110,60,,
02020,0202024610,60,,
03012,0301289610,60,,
06273,0627319110,120,,
06754,0675437210,60,,
03154,0315424610,120,,
04135,0413519110,60,,
02637,0263737210,60,,
05418,0541891610,60,,
05249,0524924510,54,,
16121,1612126310,60,,
02133,0213324210,120,,
06283,0628326310,60,,
05162,0516229310,120,,
06444,0644424510,120,,
06815,0681519110,30,,
